attendance_percentage,absence_streak,late_count,attendance_trend,classes_attended,classes_missed,quiz_average,assignment_average,learning_minutes,course_completion,previous_exam_score,recent_score_trend,risk_label,predicted_performance,engagement_level,is_anomaly
79.8,0,5,-0.524,43,11,77.5,88.6,340.4,77.3,77.1,-0.155,MEDIUM,80.9,HIGH,1
73.7,1,3,0.05,29,11,63.4,67.6,321.3,75.6,64.1,0.04,LOW,64.9,MEDIUM,1
70.7,2,2,-0.404,29,12,98.0,77.9,10.0,75.1,65.7,0.08,MEDIUM,70.5,MEDIUM,-1
73.1,0,1,0.351,35,13,69.2,66.8,376.0,71.5,64.3,0.409,LOW,69.9,MEDIUM,1
67.0,0,4,-0.866,38,18,69.7,64.1,337.3,72.3,60.7,-0.44,MEDIUM,66.9,MEDIUM,1
98.3,0,2,-0.42,47,1,87.1,83.0,428.6,79.4,93.8,0.418,LOW,87.8,HIGH,1
73.5,2,1,-0.464,29,11,90.4,62.9,353.9,49.3,80.9,-0.156,MEDIUM,75.1,HIGH,1
84.6,0,4,0.194,40,7,76.7,75.8,345.3,76.4,75.4,-0.161,LOW,77.3,HIGH,1
76.3,0,5,0.098,34,10,98.0,64.2,10.0,58.1,78.3,-0.193,LOW,77.2,HIGH,-1
90.3,0,2,0.612,45,5,90.6,80.7,367.3,80.3,90.1,0.547,LOW,84.4,HIGH,1
94.9,0,2,0.23,43,2,92.8,83.3,395.8,72.8,80.7,0.043,LOW,85.8,HIGH,1
88.7,0,3,-0.428,50,6,72.0,82.0,387.1,83.9,88.7,-0.079,LOW,83.6,HIGH,1
43.1,3,4,-0.502,25,32,42.2,63.9,204.9,56.9,64.3,-0.164,HIGH,47.3,MEDIUM,1
93.5,0,2,0.158,53,4,82.8,84.7,298.6,85.6,95.1,-0.012,LOW,89.1,HIGH,1
79.1,0,2,0.199,35,9,61.8,83.9,357.2,84.7,71.9,-0.432,LOW,74.1,HIGH,1
65.9,1,10,-0.787,29,15,46.4,63.7,273.8,75.8,52.5,-0.005,MEDIUM,56.3,MEDIUM,1
90.1,0,3,0.371,52,6,74.4,89.9,331.7,82.2,76.9,0.126,LOW,81.7,HIGH,1
76.0,0,5,-0.16,40,12,53.5,78.3,309.4,78.4,58.6,-0.052,LOW,66.2,MEDIUM,1
86.7,0,4,-0.154,40,6,90.1,77.9,432.0,82.7,88.2,0.282,LOW,83.2,HIGH,1
69.7,1,3,0.072,37,16,56.3,65.9,339.9,57.5,56.2,-0.137,LOW,57.0,MEDIUM,1
84.6,0,5,0.103,40,7,57.6,62.1,348.6,80.9,64.8,-0.048,LOW,68.8,MEDIUM,1
66.8,3,4,-0.148,28,14,61.8,58.5,303.5,57.8,57.7,-0.235,MEDIUM,57.5,MEDIUM,1
80.0,0,2,0.259,34,9,98.0,92.2,10.0,77.8,90.0,0.274,LOW,87.1,MEDIUM,-1
65.3,0,3,-0.717,32,17,62.4,57.9,314.1,61.7,67.1,-0.217,MEDIUM,64.9,MEDIUM,1
91.6,0,3,0.175,39,4,90.6,74.3,438.7,72.9,82.8,0.374,LOW,80.7,HIGH,1
95.7,0,0,0.677,55,2,90.5,80.5,450.6,78.7,79.8,-0.152,LOW,89.7,HIGH,1
84.1,0,3,0.037,43,8,80.8,77.9,428.5,83.6,69.4,0.188,LOW,72.0,HIGH,1
60.2,0,3,-0.137,36,23,57.6,63.0,361.7,54.7,63.0,-0.157,LOW,63.8,MEDIUM,1
86.2,0,2,0.862,51,8,83.3,85.0,497.5,90.8,77.1,-0.267,LOW,82.0,HIGH,1
80.7,1,3,0.563,44,10,46.4,78.6,319.6,71.1,53.3,0.061,LOW,66.4,HIGH,1
65.3,3,1,-0.382,34,18,66.3,74.8,294.1,77.3,68.5,-0.314,MEDIUM,70.4,MEDIUM,1
70.2,1,2,0.247,36,15,84.1,85.2,361.3,80.5,75.9,0.593,LOW,82.3,MEDIUM,1
53.2,2,1,-0.024,25,22,54.1,66.1,268.9,54.3,61.3,0.081,HIGH,53.8,MEDIUM,1
92.4,0,5,0.747,44,4,85.2,79.2,408.6,75.9,79.7,0.017,LOW,92.4,HIGH,1
69.0,0,4,-0.524,41,18,47.7,49.0,280.9,66.7,52.5,-0.585,MEDIUM,57.0,MEDIUM,1
89.1,0,6,1.0,43,5,88.4,99.0,446.7,98.6,100.0,0.083,LOW,97.1,HIGH,1
96.2,0,3,0.187,54,2,79.4,99.0,459.2,93.3,84.5,0.211,LOW,92.6,HIGH,1
92.4,0,4,0.006,37,3,77.4,94.2,422.4,98.7,79.6,-0.131,LOW,87.3,HIGH,1
69.1,0,5,-0.064,31,14,65.5,73.0,339.5,81.3,74.6,-0.006,LOW,71.2,MEDIUM,1
75.4,0,2,-0.009,35,11,76.2,72.8,341.5,67.3,80.5,0.107,LOW,78.3,MEDIUM,1
70.3,1,3,-0.0,34,14,64.9,71.4,352.0,82.1,61.1,0.41,LOW,67.2,MEDIUM,1
89.8,0,2,-0.071,44,5,98.0,84.0,10.0,89.8,90.3,-0.276,LOW,82.8,HIGH,-1
89.7,0,0,-0.064,39,4,65.0,88.6,403.6,79.6,68.0,0.306,LOW,80.4,HIGH,1
68.1,1,2,-0.756,37,18,64.0,63.1,323.6,62.8,58.8,0.205,MEDIUM,62.4,MEDIUM,1
93.3,0,3,-0.39,48,3,85.2,78.3,403.0,92.7,90.4,-0.316,LOW,84.7,HIGH,1
66.8,2,1,-0.491,32,16,66.3,67.1,324.3,80.6,75.5,-0.445,MEDIUM,60.2,MEDIUM,1
87.3,0,4,0.181,37,5,82.8,84.7,449.8,82.4,80.5,-0.219,LOW,86.0,HIGH,1
50.9,2,3,-0.467,24,24,67.8,72.8,242.5,83.3,73.6,-0.089,MEDIUM,67.0,MEDIUM,1
82.1,8,3,-0.95,46,10,83.4,89.8,393.5,96.2,79.1,-0.317,LOW,86.6,HIGH,-1
62.2,1,6,-0.059,33,20,74.2,70.5,294.5,73.7,76.4,0.108,LOW,71.3,MEDIUM,1
63.0,3,3,-0.451,28,16,42.2,86.5,268.9,79.6,48.7,-0.261,MEDIUM,63.5,MEDIUM,1
87.3,0,3,0.642,35,5,64.6,80.2,309.7,86.9,77.7,0.149,LOW,77.1,HIGH,1
55.8,2,3,-0.315,22,18,84.7,82.7,404.9,58.1,81.6,-0.07,MEDIUM,79.6,HIGH,1
85.6,0,2,0.033,36,6,89.5,88.5,391.4,80.0,80.2,-0.044,LOW,89.0,HIGH,1
41.6,3,4,-0.057,20,28,98.0,55.3,10.0,53.5,55.0,0.3,HIGH,52.0,LOW,-1
65.8,1,1,-0.272,30,15,75.0,92.8,392.1,75.6,70.7,0.29,LOW,75.4,HIGH,1
81.6,0,2,0.129,39,9,68.7,62.7,340.0,78.0,70.1,0.196,LOW,74.6,HIGH,1
89.4,0,2,0.302,38,5,87.5,95.4,410.3,90.4,89.8,-0.286,LOW,87.7,HIGH,1
67.7,0,3,-0.592,40,19,57.3,68.5,283.1,74.3,65.2,-0.265,MEDIUM,62.6,MEDIUM,1
60.5,2,4,-0.282,35,23,69.9,49.2,234.8,57.5,61.4,-0.128,MEDIUM,59.0,MEDIUM,1
75.4,0,6,-0.182,33,11,70.4,98.5,348.2,95.3,69.5,0.489,LOW,84.2,HIGH,1
88.2,0,3,0.205,39,5,88.1,83.4,419.2,85.6,81.8,-0.299,LOW,82.2,HIGH,1
75.2,0,4,-0.323,40,13,98.0,71.7,449.0,72.1,77.1,0.172,LOW,82.1,HIGH,1
77.3,0,5,0.572,38,11,74.6,72.8,380.4,80.6,81.5,-0.332,LOW,74.9,MEDIUM,1
95.4,0,2,-0.078,52,3,60.0,93.7,379.6,96.9,65.1,0.171,LOW,75.2,HIGH,1
72.8,1,3,-0.0,33,12,73.9,73.9,321.7,74.6,62.5,-0.182,MEDIUM,68.5,HIGH,1
80.4,0,2,0.066,47,12,74.1,97.5,384.9,74.3,82.4,0.141,LOW,85.7,HIGH,1
76.3,0,6,-0.19,40,13,44.6,70.0,371.1,81.5,68.6,-0.212,MEDIUM,65.2,MEDIUM,1
88.3,0,2,0.17,50,7,69.9,68.4,332.0,65.1,68.2,-0.146,LOW,72.3,HIGH,1
75.1,0,2,0.433,36,12,81.4,77.4,273.5,65.5,81.6,-0.017,LOW,77.5,MEDIUM,1
96.4,0,2,0.001,44,2,98.0,87.7,10.0,89.7,83.2,-0.166,LOW,89.8,HIGH,-1
93.3,0,4,-0.027,53,4,98.0,72.3,10.0,78.0,86.1,-0.252,LOW,81.8,HIGH,-1
76.9,0,4,0.293,38,11,98.0,61.4,10.0,71.2,69.4,-0.105,LOW,78.9,MEDIUM,-1
53.8,2,2,-0.075,22,19,58.4,55.9,269.9,70.9,47.7,0.071,HIGH,53.0,MEDIUM,1
90.3,0,3,0.137,47,5,68.4,77.0,348.1,85.5,80.3,-0.719,LOW,70.1,HIGH,1
87.1,0,2,0.465,39,6,59.9,72.0,288.8,73.0,63.2,0.068,LOW,65.7,MEDIUM,1
55.9,4,2,-0.126,27,21,62.9,78.7,291.4,76.0,72.4,-0.412,HIGH,69.9,MEDIUM,1
89.3,0,1,0.632,53,6,72.4,77.6,383.5,70.9,88.3,0.099,LOW,80.8,HIGH,1
44.2,3,2,-0.341,21,26,46.7,74.3,252.6,57.7,51.2,0.573,HIGH,53.9,LOW,1
59.9,6,4,-0.593,29,20,45.1,45.1,303.9,56.9,52.3,-0.03,HIGH,52.9,MEDIUM,1
71.3,0,1,0.517,39,16,66.0,76.9,334.9,69.9,62.5,0.068,LOW,66.3,HIGH,1
99.3,0,5,-0.429,54,0,74.7,87.1,443.1,95.4,73.6,-0.268,LOW,84.9,HIGH,1
74.5,2,1,-0.153,39,13,63.6,85.9,276.3,79.8,76.2,-0.038,MEDIUM,76.9,HIGH,1
90.7,0,0,-0.195,52,5,98.0,80.3,339.4,86.1,87.6,-0.391,LOW,85.8,HIGH,1
97.1,1,3,0.118,44,1,83.2,74.3,384.2,84.9,77.7,0.298,LOW,80.1,HIGH,1
67.0,2,1,-0.273,40,19,66.5,72.7,307.1,78.6,62.4,-0.288,MEDIUM,75.4,MEDIUM,1
87.4,1,2,0.464,42,6,88.4,81.6,398.5,75.0,81.6,-0.024,LOW,82.2,HIGH,1
90.5,0,1,0.12,52,5,74.4,74.4,401.2,68.1,71.7,0.448,LOW,76.3,HIGH,1
88.9,0,1,-0.072,41,5,85.3,78.4,449.6,88.1,85.1,-0.028,LOW,83.7,HIGH,1
60.3,2,1,-0.334,27,17,73.3,63.2,326.8,58.9,70.9,-0.019,MEDIUM,67.5,MEDIUM,1
58.5,6,5,-0.532,29,21,52.5,83.4,280.3,64.2,64.4,0.098,HIGH,62.1,MEDIUM,1
46.2,6,0,-0.052,24,28,55.0,60.1,218.4,58.9,63.4,0.379,HIGH,53.6,MEDIUM,1
84.6,1,2,0.546,36,6,59.7,77.6,394.5,82.0,75.3,-0.064,LOW,81.7,HIGH,1
91.6,0,3,0.163,37,3,67.5,79.1,393.2,92.3,55.2,0.429,LOW,72.5,HIGH,1
67.2,0,0,-0.255,29,14,59.8,67.1,277.5,69.8,76.3,0.118,LOW,67.1,MEDIUM,1
81.7,0,3,0.24,47,11,80.0,79.4,322.9,79.9,79.0,0.195,LOW,78.2,HIGH,1
89.2,0,2,-0.036,51,6,66.7,72.8,412.1,74.7,85.2,0.234,LOW,76.2,HIGH,1
89.5,0,1,0.058,40,5,81.3,79.2,416.1,94.8,83.9,0.073,LOW,87.9,HIGH,1
66.7,0,2,-0.3,33,16,64.9,54.9,360.8,72.9,65.9,-0.047,MEDIUM,61.9,MEDIUM,1
68.1,0,4,-0.039,31,15,65.5,73.0,279.7,57.6,65.5,-0.03,LOW,64.3,MEDIUM,1
82.8,0,0,-0.016,42,9,85.4,79.9,288.6,91.5,78.8,-0.178,LOW,83.1,MEDIUM,1
86.2,1,2,-0.535,41,6,98.0,67.7,422.5,72.1,94.9,-0.227,LOW,95.6,HIGH,1
79.7,0,1,-0.24,41,11,55.4,82.2,267.5,88.5,66.2,-0.087,LOW,61.6,MEDIUM,1
78.2,0,1,0.792,45,12,80.6,71.8,394.1,78.3,85.1,-0.06,LOW,84.3,MEDIUM,1
76.1,0,0,0.051,40,13,97.0,88.7,385.9,88.8,87.5,-0.13,LOW,84.7,HIGH,1
77.1,0,3,0.25,39,11,85.1,72.7,431.8,82.3,77.6,-0.234,LOW,76.2,MEDIUM,1
86.2,0,4,0.075,42,7,85.2,92.2,395.3,90.1,63.7,0.181,LOW,84.3,HIGH,1
90.1,0,2,0.078,41,4,98.0,86.9,10.0,91.6,55.9,0.444,LOW,73.5,MEDIUM,-1
82.5,0,2,-0.235,43,9,91.1,65.6,415.1,67.7,84.0,0.517,LOW,85.8,HIGH,1
80.1,0,0,0.611,39,10,95.0,70.8,396.4,100.0,75.5,0.185,LOW,77.6,HIGH,1
82.4,0,4,-0.124,42,9,98.0,93.7,10.0,79.9,91.8,-0.369,LOW,90.9,HIGH,-1
81.3,0,4,-0.131,33,7,86.8,85.3,395.5,85.0,83.6,0.478,LOW,85.6,HIGH,1
85.9,0,1,0.215,49,8,90.5,68.9,410.3,77.7,79.7,0.169,LOW,83.9,HIGH,1
65.2,1,2,0.1,34,18,75.8,74.5,300.6,74.2,72.5,0.257,LOW,72.6,MEDIUM,1
67.2,1,1,-0.332,29,14,78.3,63.9,408.5,59.1,78.7,0.362,MEDIUM,63.7,MEDIUM,1
31.0,3,3,-0.812,14,31,31.0,51.0,238.6,48.0,50.5,0.399,HIGH,43.3,MEDIUM,1
61.2,1,3,-0.802,35,22,95.5,81.9,344.4,65.7,74.4,0.044,MEDIUM,75.7,HIGH,1
89.7,0,2,0.564,39,5,91.5,85.4,404.0,71.7,90.9,-0.196,LOW,86.6,HIGH,1
86.3,0,6,0.122,49,8,89.2,67.1,347.5,72.9,85.4,0.337,LOW,85.5,MEDIUM,1
53.4,6,3,0.149,24,20,66.1,65.0,307.7,76.8,67.9,-0.859,HIGH,59.3,MEDIUM,1
86.5,0,1,0.171,40,6,55.0,90.6,297.2,81.6,68.6,-0.213,LOW,71.7,MEDIUM,1
69.4,3,2,-0.506,33,15,41.9,75.2,277.8,76.4,57.7,0.478,MEDIUM,65.2,MEDIUM,1
91.6,1,4,0.217,38,4,86.8,80.9,436.2,88.2,93.1,-0.147,LOW,87.0,HIGH,1
84.2,0,3,0.18,43,8,76.6,72.7,487.5,84.9,76.2,0.439,LOW,78.0,HIGH,1
90.4,0,4,0.25,53,6,89.3,81.1,410.6,85.2,74.9,-0.163,LOW,83.6,HIGH,1
86.4,0,2,0.125,46,7,74.6,49.2,417.3,76.2,67.3,-0.302,LOW,67.8,HIGH,1
77.5,0,3,-0.044,36,11,69.5,76.0,303.3,80.4,65.8,0.084,LOW,75.6,HIGH,1
84.9,0,3,0.444,43,8,74.4,68.1,350.0,89.0,65.4,0.227,LOW,71.8,HIGH,1
78.8,0,2,0.081,36,10,69.0,63.9,328.4,65.5,66.5,-0.095,LOW,69.4,MEDIUM,1
72.3,3,2,0.171,35,13,58.5,75.8,314.4,82.2,65.4,0.118,MEDIUM,73.3,MEDIUM,1
82.6,0,2,-0.194,42,9,61.4,79.3,290.6,82.6,63.8,0.106,LOW,70.1,HIGH,1
66.0,0,3,-0.574,28,15,73.9,68.0,309.0,64.6,82.8,0.098,MEDIUM,67.5,MEDIUM,1
65.4,2,3,-0.492,29,15,75.1,68.5,263.3,68.4,72.4,0.751,MEDIUM,74.7,MEDIUM,1
83.1,1,1,-0.225,40,8,41.1,71.2,363.5,90.9,62.9,-0.135,MEDIUM,66.7,HIGH,1
79.3,0,1,-0.547,36,10,72.2,57.8,340.0,69.3,64.1,0.119,LOW,64.1,MEDIUM,1
85.8,0,2,-0.088,45,8,75.2,77.7,349.1,88.0,88.3,-0.134,LOW,84.1,HIGH,1
76.2,0,2,0.557,45,14,78.6,80.2,317.6,79.9,72.6,-0.256,LOW,81.0,MEDIUM,1
32.6,5,2,-0.376,18,38,57.2,43.8,200.8,56.6,60.7,-0.007,HIGH,40.6,LOW,1
94.9,1,2,-0.278,38,2,90.7,77.6,437.0,83.0,96.6,-0.39,LOW,89.2,HIGH,1
94.8,0,1,0.313,51,3,78.3,81.3,371.1,93.9,78.3,0.135,LOW,84.3,HIGH,1
75.2,0,8,0.065,41,13,64.1,72.1,341.1,71.5,64.4,0.124,LOW,70.0,MEDIUM,1
86.5,0,0,-0.012,35,5,57.6,78.9,374.1,83.2,67.7,-0.113,LOW,77.8,HIGH,1
64.3,3,3,-0.61,35,19,65.8,69.6,305.2,59.2,68.9,-0.035,HIGH,70.0,MEDIUM,1
97.1,8,2,-0.95,40,1,64.7,73.8,342.7,75.7,64.3,0.336,LOW,76.0,HIGH,-1
74.1,1,4,0.11,32,11,63.6,78.0,353.6,76.2,66.6,-0.05,MEDIUM,69.9,HIGH,1
93.7,0,1,0.192,52,4,65.1,77.5,403.7,82.7,78.8,-0.235,LOW,85.1,HIGH,1
70.1,0,5,0.122,39,16,86.3,78.5,398.2,61.6,75.2,-0.139,LOW,79.8,HIGH,1
82.0,0,4,0.057,47,10,60.6,78.3,358.3,81.2,79.1,0.284,LOW,74.1,HIGH,1
82.0,0,1,0.101,45,10,65.6,80.6,318.2,81.4,63.8,0.47,LOW,68.2,HIGH,1
90.1,0,3,0.067,42,5,86.7,90.2,407.9,79.9,93.1,0.065,LOW,87.6,HIGH,1
96.7,0,6,-0.343,44,1,97.0,88.0,441.4,97.1,100.0,0.081,LOW,94.3,HIGH,1
89.9,0,2,0.688,53,6,71.2,88.0,322.0,86.7,72.2,-0.032,LOW,84.3,HIGH,1
86.4,0,1,0.28,35,6,96.4,94.2,333.0,79.6,99.3,-0.045,LOW,93.6,HIGH,1
95.0,0,1,0.143,55,3,79.1,70.5,430.2,87.5,75.6,-0.231,LOW,78.0,HIGH,1
52.9,4,1,-0.319,28,24,75.4,57.5,285.6,43.7,59.3,0.023,HIGH,63.6,LOW,1
75.9,0,2,0.049,34,11,73.5,68.9,326.1,59.8,74.0,-0.052,LOW,77.3,MEDIUM,1
93.3,0,1,0.187,42,3,65.9,95.1,414.3,79.3,72.6,-0.356,LOW,85.8,HIGH,1
64.0,2,4,0.171,33,19,56.5,68.5,340.6,70.0,67.3,0.084,MEDIUM,64.4,MEDIUM,1
77.7,0,4,-0.106,31,9,72.4,67.8,318.6,78.3,73.2,-0.277,LOW,70.6,MEDIUM,1
73.6,0,4,0.182,35,13,84.4,63.3,436.3,63.0,89.4,-0.746,LOW,74.2,HIGH,1
80.8,0,2,-0.385,41,10,82.0,83.7,322.6,83.9,82.9,-0.015,LOW,81.9,HIGH,1
82.1,0,3,0.344,42,9,91.2,80.3,404.6,91.0,88.2,-0.151,LOW,85.3,HIGH,1
79.6,0,3,0.203,34,9,66.4,61.2,335.3,66.7,70.1,-0.127,LOW,67.2,MEDIUM,1
83.2,1,1,0.069,48,10,57.5,71.4,394.9,65.7,81.7,0.215,MEDIUM,72.8,MEDIUM,1
88.8,1,1,-0.549,49,6,86.6,60.1,410.8,93.3,83.8,-0.393,MEDIUM,82.9,HIGH,1
55.4,5,0,-0.422,28,23,68.1,73.2,268.3,68.2,68.2,0.38,HIGH,66.9,MEDIUM,1
80.6,0,4,-0.182,32,8,73.4,76.5,429.2,68.3,74.0,0.127,LOW,72.4,HIGH,1
62.3,3,1,-0.524,27,16,60.1,66.3,279.3,62.3,53.7,0.291,HIGH,65.1,MEDIUM,1
84.0,0,2,-0.457,40,8,72.0,63.5,374.8,53.9,66.1,-0.235,LOW,74.5,MEDIUM,1
79.9,0,2,-0.01,37,9,65.8,69.6,274.3,66.3,54.4,0.535,LOW,65.1,MEDIUM,1
84.3,0,1,0.646,41,8,81.2,84.1,308.8,83.4,85.8,-0.089,LOW,89.7,HIGH,1
81.4,0,4,0.313,42,10,83.3,73.6,339.6,79.2,70.4,-0.056,LOW,81.0,MEDIUM,1
65.1,2,3,-0.234,31,16,98.0,64.0,10.0,52.8,75.5,0.093,MEDIUM,71.5,MEDIUM,-1
85.7,0,2,0.265,51,8,77.9,95.2,445.3,90.9,78.7,0.048,LOW,83.7,HIGH,1
62.5,3,0,0.408,31,18,70.3,52.0,308.5,57.6,64.5,0.144,MEDIUM,63.3,MEDIUM,1
79.3,0,2,-0.2,39,10,54.8,69.3,369.9,77.2,68.4,0.07,LOW,69.7,HIGH,1
92.5,1,3,-0.134,43,4,82.6,73.2,383.3,92.7,81.8,-0.432,LOW,90.0,HIGH,1
86.3,0,1,-0.046,51,8,85.5,84.4,458.1,89.5,78.8,0.211,LOW,84.6,HIGH,1
80.5,0,1,-0.325,43,11,65.6,78.9,374.2,78.7,52.1,0.161,LOW,70.9,MEDIUM,1
80.7,0,0,0.196,32,8,92.3,75.5,388.6,74.6,84.8,-0.246,LOW,88.7,HIGH,1
71.5,1,0,0.008,39,15,61.1,61.0,358.6,60.7,65.7,-0.303,MEDIUM,66.8,MEDIUM,1
40.5,4,3,-0.063,23,33,58.4,60.8,235.6,44.8,56.2,0.118,HIGH,57.3,MEDIUM,1
85.0,0,1,0.35,44,8,79.6,59.6,385.2,66.0,78.5,0.112,LOW,79.6,HIGH,1
86.8,0,1,0.496,44,7,67.9,75.5,392.0,86.1,71.5,0.301,LOW,77.5,HIGH,1
56.6,3,3,-0.033,24,18,61.4,59.6,302.8,59.4,71.0,0.307,MEDIUM,64.3,MEDIUM,1
81.9,0,2,-0.013,48,10,76.6,85.6,314.0,68.4,85.0,0.491,LOW,77.7,MEDIUM,1
88.4,8,3,-0.95,39,5,80.4,85.5,392.7,79.7,82.0,-0.121,LOW,82.4,HIGH,-1
54.8,2,4,-0.547,23,19,43.9,70.2,290.4,74.6,54.5,-0.243,HIGH,56.6,MEDIUM,1
87.9,0,2,0.114,39,5,83.2,81.1,401.0,79.8,69.0,-0.342,LOW,76.4,HIGH,1
59.3,6,2,-0.143,28,20,76.6,79.2,324.0,58.9,65.8,-0.164,HIGH,69.0,MEDIUM,1
65.1,0,4,-0.697,29,16,78.1,77.1,364.4,74.4,69.8,0.267,MEDIUM,76.1,MEDIUM,1
71.2,8,2,-0.95,39,16,79.7,61.5,372.7,69.4,76.5,-0.373,LOW,67.7,MEDIUM,-1
82.0,0,3,0.108,40,9,64.2,72.3,312.0,71.3,72.1,-0.336,LOW,76.6,HIGH,1
78.7,0,0,-0.013,43,12,82.6,81.6,316.4,81.7,78.5,-0.176,LOW,79.0,HIGH,1
85.0,0,3,-0.205,36,6,59.4,80.6,411.7,83.5,74.6,0.073,LOW,73.8,MEDIUM,1
83.4,0,2,0.522,48,9,74.5,77.2,356.1,79.7,87.3,0.202,LOW,78.7,HIGH,1
96.2,0,3,0.253,48,2,69.5,86.8,373.6,98.8,80.9,0.009,LOW,82.9,HIGH,1
72.9,2,2,0.359,42,16,83.2,53.7,352.6,67.7,77.0,-0.183,LOW,70.6,MEDIUM,1
68.6,2,2,-0.283,37,17,70.5,74.9,381.6,71.9,68.5,0.233,MEDIUM,75.4,MEDIUM,1
35.5,5,1,0.235,18,32,29.3,67.3,180.7,57.2,36.9,-0.08,HIGH,44.1,LOW,1
64.4,1,2,-0.003,32,17,63.1,76.4,302.1,73.1,62.4,-0.684,LOW,62.2,MEDIUM,1
88.1,0,0,0.497,42,6,61.7,99.0,339.9,93.1,85.2,0.206,LOW,84.6,HIGH,1
91.4,0,4,0.449,38,4,74.0,85.8,348.0,85.4,77.1,0.197,LOW,81.1,HIGH,1
85.9,0,0,-0.087,41,7,73.8,77.2,301.8,92.1,83.3,0.279,LOW,83.2,HIGH,1
94.6,0,1,0.162,54,3,90.1,97.9,423.1,83.9,75.6,-0.216,LOW,92.2,HIGH,1
65.7,0,3,0.15,34,17,78.7,60.7,290.0,72.3,68.1,0.112,LOW,69.6,MEDIUM,1
72.2,0,5,0.247,40,15,54.0,67.8,293.5,66.9,53.0,0.33,LOW,59.5,MEDIUM,1
67.4,0,2,-0.546,29,14,65.1,69.5,296.8,70.0,66.1,0.336,MEDIUM,63.8,MEDIUM,1
90.5,0,2,0.127,36,4,75.5,72.5,407.8,89.4,81.3,-0.11,LOW,77.7,HIGH,1
84.6,0,1,0.345,44,8,61.9,84.8,240.9,87.8,79.5,-0.275,LOW,73.9,HIGH,1
68.4,1,5,-0.688,32,15,65.8,79.5,383.8,74.8,68.4,-0.291,MEDIUM,64.3,HIGH,1
78.7,0,0,-0.191,35,10,84.7,70.6,384.0,74.0,86.8,-0.766,LOW,78.5,HIGH,1
88.4,0,1,-0.326,42,5,66.6,83.0,388.5,74.4,73.1,0.028,LOW,76.4,HIGH,1
95.6,0,4,0.243,55,3,93.1,86.0,386.7,98.4,86.8,-0.341,LOW,93.5,HIGH,1
84.4,0,4,0.568,43,8,60.7,81.6,344.2,82.4,73.9,0.31,LOW,75.8,HIGH,1
89.9,0,2,-0.509,36,4,98.0,77.9,437.6,86.1,86.4,-0.342,LOW,86.3,HIGH,1
93.8,0,4,0.162,40,3,81.5,74.9,433.9,93.4,80.4,0.049,LOW,87.8,HIGH,1
44.9,4,4,-0.441,23,29,48.4,74.2,260.6,60.2,52.3,-0.447,HIGH,57.5,MEDIUM,1
85.0,0,2,0.612,48,8,85.0,70.8,401.1,68.3,69.9,0.207,LOW,78.1,HIGH,1
78.6,0,5,0.165,46,12,98.0,72.0,376.7,69.7,87.4,0.416,LOW,87.9,MEDIUM,1
80.9,0,0,0.357,47,11,91.7,86.3,335.0,72.7,82.8,0.268,LOW,85.6,HIGH,1
77.0,0,1,0.518,34,10,72.8,74.3,341.8,89.2,83.2,0.255,LOW,82.4,HIGH,1
71.3,2,2,0.153,36,14,86.1,94.7,433.2,77.7,97.3,0.241,LOW,91.2,HIGH,1
72.7,0,4,-0.441,33,13,98.0,63.1,324.2,54.2,78.3,0.308,LOW,76.9,MEDIUM,1
44.9,5,1,-0.286,19,23,52.9,52.3,178.1,42.6,54.8,-0.087,HIGH,54.1,LOW,1
54.9,4,3,-0.187,27,23,64.4,62.3,363.1,78.6,76.5,-0.566,HIGH,61.4,MEDIUM,1
69.7,0,6,-0.602,39,17,60.0,80.0,316.4,77.1,70.7,0.079,LOW,69.6,HIGH,1
83.6,0,4,-0.466,42,8,72.2,78.4,304.6,86.9,74.4,-0.023,MEDIUM,79.8,HIGH,1
67.8,0,2,-0.665,37,17,65.6,76.0,320.5,62.3,66.7,0.209,LOW,69.1,MEDIUM,1
60.0,3,1,0.149,35,23,59.7,83.1,277.6,80.9,70.8,0.289,MEDIUM,68.7,MEDIUM,1
56.9,2,4,-0.6,27,20,77.6,44.2,372.7,45.2,71.6,0.136,HIGH,67.0,MEDIUM,1
76.8,0,3,0.942,42,13,50.8,57.7,376.0,66.8,54.6,-0.56,LOW,64.1,MEDIUM,1
78.6,0,3,0.53,42,12,74.6,69.0,373.7,76.4,84.5,-0.373,LOW,78.2,HIGH,1
65.6,2,4,0.025,28,14,67.1,67.9,340.9,68.5,74.4,0.007,MEDIUM,63.8,MEDIUM,1
87.9,1,2,-0.364,40,5,73.3,66.4,372.7,78.3,80.1,0.19,LOW,72.0,HIGH,1
56.0,4,2,0.172,24,18,72.9,78.4,375.1,62.5,78.6,-0.182,MEDIUM,69.7,MEDIUM,1
84.4,0,1,-0.051,37,7,86.8,79.2,394.9,78.7,84.4,-0.074,LOW,85.3,HIGH,1
90.2,1,4,-0.449,36,4,80.7,93.4,368.7,79.8,89.6,0.263,LOW,88.8,HIGH,1
72.3,0,5,0.177,38,15,74.9,71.5,395.3,83.7,80.2,0.006,LOW,69.7,HIGH,1
52.3,2,7,-0.114,27,24,60.6,62.5,282.7,60.0,59.2,0.358,MEDIUM,55.7,MEDIUM,1
73.0,1,4,-0.139,38,14,79.0,62.6,344.8,60.8,72.3,0.005,LOW,70.8,MEDIUM,1
